index,mosque_name,district,google_maps_url,google_maps_score,latitude,longitude
24,EMLAK KONUT CAMİİ,BAŞAKŞEHİR,https://www.google.com/maps/search/EMLAK%20KONUT%20CAM%C4%B0%C4%B0%20BA%C5%9EAK%C5%9EEH%C4%B0R%20%C4%B0stanbul,,41.1143184,28.7673404
25,SÜLEYMAN ÇELEBİ CAMİİ,BAŞAKŞEHİR,https://www.google.com/maps/search/S%C3%9CLEYMAN%20%C3%87ELEB%C4%B0%20CAM%C4%B0%C4%B0%20BA%C5%9EAK%C5%9EEH%C4%B0R%20%C4%B0stanbul,,40.9866268,28.7146301
26,SÜLEYMAN ŞAH CAMİİ,BAŞAKŞEHİR,https://www.google.com/maps/search/S%C3%9CLEYMAN%20%C5%9EAH%20CAM%C4%B0%C4%B0%20BA%C5%9EAK%C5%9EEH%C4%B0R%20%C4%B0stanbul,,41.1364393,28.7759461
27,HZ.İBRAHİM CAMİİ,BAŞAKŞEHİR,https://www.google.com/maps/search/HZ.%C4%B0BRAH%C4%B0M%20CAM%C4%B0%C4%B0%20BA%C5%9EAK%C5%9EEH%C4%B0R%20%C4%B0stanbul,,41.1656266,28.8227699
28,MEHMET AKİF ERSOY CAMİİ,BAŞAKŞEHİR,https://www.google.com/maps/search/MEHMET%20AK%C4%B0F%20ERSOY%20CAM%C4%B0%C4%B0%20BA%C5%9EAK%C5%9EEH%C4%B0R%20%C4%B0stanbul,,41.0894456,28.9161422
29,MEHMET ZAHİT KOTKU CAMİİ,BAŞAKŞEHİR,https://www.google.com/maps/search/MEHMET%20ZAH%C4%B0T%20KOTKU%20CAM%C4%B0%C4%B0%20BA%C5%9EAK%C5%9EEH%C4%B0R%20%C4%B0stanbul,,41.10016,28.7905431
30,HZ.HAMZA CAMİİ,BAŞAKŞEHİR,https://www.google.com/maps/search/HZ.HAMZA%20CAM%C4%B0%C4%B0%20BA%C5%9EAK%C5%9EEH%C4%B0R%20%C4%B0stanbul,,40.9909951,28.6035746
31,EMLAK KONUT BAŞAKŞEHİR EVLERİ CAMİİ,BAŞAKŞEHİR,https://www.google.com/maps/search/EMLAK%20KONUT%20BA%C5%9EAK%C5%9EEH%C4%B0R%20EVLER%C4%B0%20CAM%C4%B0%C4%B0%20BA%C5%9EAK%C5%9EEH%C4%B0R%20%C4%B0stanbul,,41.1143184,28.7673404
32,ŞEHİT ÖMER HALİS DEMİR CAMİİ,BAŞAKŞEHİR,https://www.google.com/maps/search/%C5%9EEH%C4%B0T%20%C3%96MER%20HAL%C4%B0S%20DEM%C4%B0R%20CAM%C4%B0%C4%B0%20BA%C5%9EAK%C5%9EEH%C4%B0R%20%C4%B0stanbul,,41.0945413,28.7725123
33,ALTINTEPSİ MERKEZ CAMİİ,BAYRAMPAŞA,https://www.google.com/maps/search/ALTINTEPS%C4%B0%20MERKEZ%20CAM%C4%B0%C4%B0%20BAYRAMPA%C5%9EA%20%C4%B0stanbul,,41.0389331,28.9024147
